Buy Date,Buy Price,Buy RSI,Sell Date,Sell Price,Sell RSI,Trade Return ($),Trade Return (%),True Positive
2014-08-11,233.15,24.061810154525347,2014-08-25,242.95,72.50704225352104,9.799999999999983,4.203302594895982,True
2014-10-14,233.43,22.249219021173204,2014-10-31,252.08,79.80364656381482,18.650000000000006,7.989547187593714,True
2015-08-21,272.3,22.26222622262219,2015-10-16,263.88,74.6130030959753,-8.420000000000016,-3.092177745134049,False
2016-01-11,252.01,25.406439273190983,2016-02-26,249.08,73.63123993558776,-2.9299999999999784,-1.1626522757033364,False
2016-05-06,255.66,28.749292586304534,2016-06-01,264.56,71.11111111111119,8.900000000000006,3.481185950089966,True
2016-06-24,255.53,27.12157949428469,2016-07-14,273.07,84.20436817472702,17.539999999999992,6.864164677337296,True
2016-08-19,272.37,24.891774891774887,2016-12-27,252.49,77.63358778625941,-19.879999999999995,-7.298894885633511,False
2017-04-04,273.4,29.55974842767307,2017-05-01,278.58,70.24793388429751,5.180000000000007,1.8946598390636455,True
2017-08-08,288.94,25.585284280936747,2017-08-31,295.08,73.79077615298092,6.139999999999986,2.125008652315355,True
2017-10-31,295.18,26.930564568461946,2017-11-30,301.85,80.36529680365254,6.670000000000016,2.2596381868690343,True
2018-02-08,294.12,25.238688252386837,2018-05-23,305.18,72.67917267917267,11.060000000000002,3.7603699170406646,True
2018-10-10,330.63,27.05112960760998,2019-01-11,317.47,79.02377972465585,-13.159999999999968,-3.980280071378873,False
2019-04-17,315.33,23.36792768664212,2019-05-08,324.7,75.10450534138435,9.370000000000005,2.9714901848856767,True
2019-07-23,337.73,29.820051413881828,2019-10-22,340.31,75.272331154684,2.579999999999984,0.7639238444911568,True
2020-02-25,368.07,19.911259012756545,2020-04-09,356.13,73.75041377027472,-11.939999999999998,-3.243948162034395,False
2020-10-28,390.63,29.79558125129053,2020-11-17,420.87,80.88235294117638,30.24000000000001,7.741340910836343,True
2021-02-26,425.35,23.560868197546412,2021-03-26,437.01,72.10939615488766,11.659999999999968,2.741271893734564,True
2021-09-20,494.07,29.609647730878976,2021-10-22,495.38,74.60052468399716,1.3100000000000023,0.2651446151355076,True
2021-11-22,494.85,27.699150828952753,2021-12-16,509.26,71.58585148746786,14.409999999999968,2.911993533393951,True
2022-01-13,493.12,28.19956616052049,2022-03-25,496.68,71.17403754374806,3.5600000000000023,0.7219338092147961,True
2022-04-27,480.91,20.905977584059798,2022-05-27,485.24,74.80662983425408,4.329999999999984,0.9003763697989196,True
2022-06-13,443.05,25.505956652791767,2022-07-04,470.17,76.34028892455854,27.120000000000005,6.12120528157093,True
2022-08-30,453.5,24.187107815173974,2022-10-28,469.52,76.0249013058002,16.019999999999982,3.5325248070562254,True
2023-02-27,471.16,28.87091943695718,2023-03-30,478.01,72.60969976905304,6.849999999999966,1.4538585618473483,True
2023-05-24,485.65,29.34256055363325,2023-06-19,493.52,71.4247881355932,7.8700000000000045,1.6205085967260384,True
2023-07-07,479.12,28.021978021977972,2023-07-21,505.76,70.60726729716276,26.639999999999986,5.560193688428783,True
2023-09-27,480.77,29.165186500887955,2023-11-16,476.7,77.7179763186221,-4.069999999999993,-0.8465586455061658,False
2024-04-10,526.06,29.30648769574954,2024-05-06,528.39,74.98066511987639,2.330000000000041,0.4429152568148198,True
