Buy Date,Buy Price,Buy RSI,Sell Date,Sell Price,Sell RSI,Trade Return ($),Trade Return (%),True Positive
2014-10-14,1877.7,27.77368227054923,2014-10-31,2018.05,83.56677753314285,140.3499999999999,7.474569952601582,True
2014-12-12,2002.33,29.83184965380785,2015-02-18,2099.68,74.37025189924017,97.34999999999991,4.8618359611053075,True
2015-03-11,2040.24,29.811560448867226,2015-07-20,2128.28,72.02269609677032,88.04000000000019,4.315178606438468,True
2015-08-21,1970.89,23.000806896844594,2015-10-16,2033.11,85.68666289379365,62.2199999999998,3.1569493984950863,True
2016-01-07,1943.09,28.284549585672266,2016-03-01,1978.35,72.69684756009785,35.25999999999999,1.8146354517804113,True
2016-06-27,2000.54,25.704332680165493,2016-07-15,2161.74,76.50394372202089,161.19999999999982,8.057824387415389,True
2016-09-09,2127.81,26.34599156118155,2016-11-21,2198.18,76.45007342143913,70.36999999999989,3.3071561840577823,True
2017-03-21,2344.02,27.405602923264297,2017-05-04,2389.52,76.5448330265577,45.5,1.941109717493878,True
2017-08-10,2438.21,29.120544945870392,2017-09-11,2488.11,72.55360918151592,49.90000000000009,2.046583354181965,True
2018-02-08,2581.0,24.678651883917098,2018-05-14,2730.13,75.03798794865082,149.1300000000001,5.777993025958935,True
2018-06-27,2699.63,26.277665995975696,2018-07-16,2798.43,70.2791625124625,98.79999999999973,3.6597607820330826,True
2018-10-10,2785.68,11.10932389684227,2019-01-15,2610.3,81.02556736569949,-175.37999999999965,-6.295769794089762,False
2019-05-13,2811.87,24.487915218028746,2019-06-18,2917.75,77.31198053922562,105.88000000000011,3.7654656865360105,True
2019-08-05,2844.74,24.38577308978644,2019-09-13,3007.39,85.77359164360298,162.6500000000001,5.717569971245179,True
2019-10-02,2887.61,20.406677666698926,2019-10-28,3039.42,84.59393022596211,151.80999999999995,5.2572888998168015,True
2020-02-25,3128.21,29.513788098693723,2020-04-09,2789.82,70.29753532918089,-338.3899999999999,-10.817368399180358,False
2020-09-23,3236.92,24.38021454112038,2020-10-13,3511.93,76.86011759420228,275.00999999999976,8.496039444904408,True
2020-10-30,3269.96,19.654586376372166,2020-11-17,3609.53,81.52825900674354,339.57000000000016,10.384530697623218,True
2021-09-20,4357.73,21.026422764227377,2021-10-20,4536.19,75.98118310115211,178.46000000000004,4.095251426774951,True
2022-01-18,4577.11,24.051292226797074,2022-03-25,4543.06,73.52216918187946,-34.04999999999927,-0.7439191979218169,False
2022-04-22,4271.78,28.076406220003975,2022-07-08,3899.38,73.18633998524756,-372.39999999999964,-8.717677408480766,False
2022-08-31,3955.0,29.264684124870485,2022-11-23,4027.26,73.32271037256243,72.26000000000022,1.8270543615676413,True
2022-12-20,3821.62,23.94936810916495,2023-01-26,4060.43,77.07577741056289,238.80999999999995,6.2489206148177985,True
2023-02-28,3970.15,25.48126786572564,2023-03-31,4109.31,73.48250504751138,139.1600000000003,3.5051572358727077,True
2023-08-17,4370.36,20.551524754677175,2023-11-14,4495.7,79.36764454246443,125.34000000000015,2.8679559578615987,True
2024-04-17,5022.21,25.16136114160261,2024-05-09,5214.08,75.24596535007882,191.8699999999999,3.8204296514880878,True
