Buy Date,Buy Price,Buy RSI,Sell Date,Sell Price,Sell RSI,Trade Return ($),Trade Return (%),True Positive
2014-10-14,2672.47,29.211362733412813,2014-10-30,3103.98,79.23619137540895,431.5100000000002,16.146486209386833,True
2015-08-06,3887.75,28.98351438480698,2015-11-02,3541.44,76.4629189355012,-346.30999999999995,-8.907722976014403,False
2016-01-07,3222.42,26.23966942148759,2016-04-06,2988.72,75.20537210182134,-233.70000000000027,-7.252313478689937,False
2016-05-04,2700.11,28.8936608830098,2016-06-01,2938.92,75.31852717708938,238.80999999999995,8.844454485187638,True
2016-06-17,2683.72,29.822055585312114,2016-07-15,2850.93,71.54622555547765,167.21000000000004,6.230530755816555,True
2016-09-02,2935.08,27.67652768522005,2016-11-23,2969.24,75.89309696481332,34.159999999999854,1.1638524333237885,True
2016-12-01,2817.17,27.44450983689258,2017-01-10,2996.73,71.56787629727658,179.55999999999995,6.373772260814929,True
2017-08-10,3187.91,26.428349117424816,2017-08-30,3394.69,74.75339973185217,206.7800000000002,6.486381359574148,True
2017-10-23,3431.77,26.602849510240432,2017-12-27,3382.89,74.37742114001111,-48.88000000000011,-1.424337878121206,False
2018-02-09,3325.72,29.338390448462818,2018-05-23,3372.07,74.02130728547206,46.350000000000364,1.3936831723656942,True
2018-10-10,3498.21,25.601632590196758,2019-01-10,3425.43,74.13607759297507,-72.7800000000002,-2.0804925947841952,False
2019-04-18,3286.56,29.325346668864867,2019-06-20,3414.68,78.26925840021347,128.1199999999999,3.8983009590574915,True
2019-07-24,3321.66,29.06138107416875,2019-10-21,3263.44,71.78494824209643,-58.2199999999998,-1.752738088786926,False
2020-01-31,3574.44,28.750627195183142,2020-02-20,3867.96,73.63236763236765,293.52,8.211635948568166,True
2020-02-27,3565.84,25.165269482303287,2020-04-13,3597.01,70.59038678411412,31.170000000000073,0.8741278352365801,True
2020-10-28,4161.65,29.43721678117234,2020-11-30,4554.48,73.09753698536636,392.8299999999999,9.439284899018418,True
2021-02-26,4936.78,28.849573356892847,2021-04-27,4957.58,73.01633700347521,20.800000000000182,0.42132726189946046,True
2021-05-12,4597.62,29.621947770340313,2021-06-07,4977.33,71.34853484041683,379.71000000000004,8.25883826849544,True
2021-09-29,5074.77,29.891283808468003,2022-04-01,4262.1,71.75905980422608,-812.6700000000001,-16.013927724803292,False
2022-04-26,3871.61,29.05776856524878,2022-07-05,3913.93,78.52513849691647,42.31999999999971,1.0930853055963723,True
2022-08-30,3853.62,24.61125132296671,2022-11-08,4147.39,74.97598118645772,293.77000000000044,7.623221801838283,True
2023-02-16,4198.94,29.084477346202448,2023-04-06,4193.72,71.24150928579844,-5.219999999999345,-0.12431708955115686,False
2023-07-06,4014.36,28.917787602295306,2023-11-30,3874.07,70.75677510059629,-140.28999999999996,-3.4947040125947835,False
2024-03-18,4337.34,26.062762614982788,2024-05-06,4370.01,70.63881860726632,32.67000000000007,0.7532266319910376,True
